Name,GEOID,Longitude,Latitude,UnemploymentRate,HighSchoolGraduation,MedianHouseholdIncome,PovertyRate,PerCapitaIncome,PerceivedNeighborhoodViolenceRate,EaseOfWalkingToTransitStopRate,MeanTravelTimeToWork,ParticulateMatterConcentration,PerceivedNeighborhoodCleanlinessRate,FoodInsecurityRate,OverallHealthStatusRate,PrimaryCareProviderRate,RoutineCheckupRate,ReceivedNeededCareRate
Bridgeport,60,-87.648784,41.836151,6.734385125,81.92580452,68504.70053,14.48522689,35296.798,28.18110858,76.3061767,30.39916791,9.328993877,37.74766243,17.39231818,94.07614106,80.90683839,63.06774359,60.15067735
New City,61,-87.659171,41.809017,13.60325368,68.55075196,40607.99495,29.31852272,19562.94199,66.58146484,56.33747554,35.46485615,9.420513231,21.16793157,24.05852073,78.08253194,72.58086768,74.95354525,61.26884426
West Elsdon,62,-87.724213,41.792977,10.35769965,73.54091092,57939.51739,12.94391894,25190.2708,25.37440068,75.67928557,36.49890338,9.559519463,54.82832437,13.1205721,85.50296174,66.40376675,68.47345784,64.5205753
Gage Park,63,-87.696433,41.795429,15.68079158,70.14397505,45828.42467,15.83644528,17934.33514,34.68527239,61.67730391,35.75418779,9.518040504,32.01401843,17.01968098,80.57797401,85.22780053,74.42792604,69.5025009
Clearing,64,-87.768517,41.779582,8.349821336,86.53609072,68281.30349,6.602380161,30260.04084,17.22736753,76.51360169,31.89678266,9.623006425,59.93676043,13.76530868,85.43177316,87.4207736,69.39131459,81.47801071
West Lawn,65,-87.726927,41.769774,11.44118812,72.85288413,64541.92117,14.6981221,23799.75509,33.85971304,72.97325419,36.52529189,9.617468033,53.37308209,14.53591664,86.1771723,92.51912546,85.45219948,73.02523761
Chicago Lawn,66,-87.695667,41.771849,17.84420803,76.4425443,40944.68146,21.50798346,19043.96487,40.31053124,59.06028114,38.16690026,9.569830879,22.09239145,29.3039717,82.59104202,80.83113852,84.02232549,72.64633092
West Englewood,67,-87.666598,41.775926,21.79313401,76.75601497,28468.01747,33.09533446,17908.83591,46.11323123,51.78585997,37.62762524,9.520016,22.73818445,36.43752234,77.70329465,72.33854211,83.518413,83.92724206
Englewood,68,-87.642502,41.777201,22.37481505,79.485787,27317.01273,36.01810771,16454.16526,59.06433692,50.65852546,39.1495828,9.478973295,13.98549252,40.28710319,79.77413736,69.7480233,69.97170636,86.86318488
Greater Grand Crossing,69,-87.616139,41.763251,16.94771464,88.55889195,39831.53534,30.01680234,22729.7774,42.56423676,71.87967606,39.26444462,9.473822575,29.78234987,36.91356024,79.18946414,75.9863407,78.69644078,70.74709092
Lincoln Park,7,-87.649491,41.922696,3.667269435,97.88617972,145315.2655,8.785621085,100034.5778,23.20734649,95.71260611,30.93850548,9.004173165,68.30617624,12.33144686,96.65823365,80.97347173,77.71712575,75.92830871
Ashburn,70,-87.708363,41.745756,9.934491273,80.92472246,71941.27016,13.15967842,26588.32468,13.05213932,71.23586189,38.47154127,9.637522552,51.72740757,15.95744799,91.89908599,86.11463544,66.15157462,82.76113181
Auburn Gresham,71,-87.656305,41.744203,19.39206312,83.9837186,40373.34523,26.32819388,21460.97465,49.54915556,56.35177444,38.281438,9.582208851,21.86572872,29.8605509,77.34725857,85.65152849,91.67714346,76.64580574
Beverly,72,-87.675072,41.713148,7.554829761,96.97778326,119491.9425,5.049236277,59185.71326,21.81150315,74.52250003,31.84576538,9.665410427,84.70757848,10.44217752,87.92633836,90.78682803,88.54621169,90.89819871
Washington Heights,73,-87.648897,41.717495,12.60525426,90.11142118,63116.54597,14.29116766,27146.37087,17.0953992,68.20485108,40.01279477,9.634029494,39.848004,26.12585136,89.79247213,76.77415196,81.431843,80.07679939
Mount Greenwood,74,-87.713189,41.694876,6.093179729,95.92716675,102170.549,6.202736602,43890.63941,19.24727555,74.122707,31.98478426,9.72087801,83.09231719,10.26432729,88.31409668,94.99573149,90.99157788,79.19317774
Morgan Park,75,-87.669062,41.689729,9.018792595,93.23158023,64960.63929,13.41049281,36008.775,25.23125234,67.76516618,35.09010234,9.708487615,52.92491277,21.87775851,82.39149376,85.08331834,82.48950874,78.0286392
O'Hare,76,-87.893699,41.975696,4.454633408,91.21070014,64432.76097,8.655475349,37106.87966,3.48096979,71.98771159,29.23454698,9.129097989,67.60394463,16.3829055,87.27921543,80.45648505,66.52148276,75.60002956
Edgewater,77,-87.663419,41.986719,7.390863855,93.05512231,65693.54077,15.77841161,47497.03794,16.35190366,90.68608049,36.37069539,8.760490002,67.15650195,17.20946789,84.78044913,83.30552556,77.19755124,80.24576465
Near North Side,8,-87.633318,41.899611,2.782358315,98.34598937,118407.6878,9.500605731,109319.1207,35.60755364,91.13994319,26.68180726,9.072591619,63.17828875,13.8394245,97.06826663,74.9536935,72.44524843,77.47797381
Edison Park,9,-87.81378,42.007627,3.226065512,97.49958422,109770.5969,6.369819414,53140.51721,17.02510365,83.45046788,30.72638288,8.913872688,71.61758201,8.933791249,95.64226845,85.18113049,79.63379027,80.02474256
